x,y,time_seconds,current_time
923,611,0.0,2024-06-21T19:16:05.884Z
934,615,0.016668000000000002,2024-06-21T19:16:05.900Z
943,617,0.03333299999999999,2024-06-21T19:16:05.915Z
943,622,0.04998899999999999,2024-06-21T19:16:05.931Z
939,624,0.066645,2024-06-21T19:16:05.947Z
935,624,0.083301,2024-06-21T19:16:05.967Z
938,623,0.09996099999999998,2024-06-21T19:16:05.994Z
938,620,0.11662199999999999,2024-06-21T19:16:06.010Z
934,626,0.133284,2024-06-21T19:16:06.019Z
936,629,0.149943,2024-06-21T19:16:06.035Z
942,624,0.166599,2024-06-21T19:16:06.050Z
942,623,0.18325599999999997,2024-06-21T19:16:06.067Z
941,628,0.19991299999999995,2024-06-21T19:16:06.082Z
941,628,0.21656499999999995,2024-06-21T19:16:06.098Z
939,623,0.23321699999999995,2024-06-21T19:16:06.113Z
934,615,0.24986799999999998,2024-06-21T19:16:06.144Z
927,591,0.266522,2024-06-21T19:16:06.160Z
879,485,0.283178,2024-06-21T19:16:06.177Z
875,474,0.299834,2024-06-21T19:16:06.192Z
879,472,0.31648899999999996,2024-06-21T19:16:06.208Z
877,474,0.333144,2024-06-21T19:16:06.224Z
876,478,0.34979899999999997,2024-06-21T19:16:06.239Z
875,480,0.366456,2024-06-21T19:16:06.255Z
876,479,0.383111,2024-06-21T19:16:06.271Z
874,480,0.399767,2024-06-21T19:16:06.287Z
876,484,0.41642,2024-06-21T19:16:06.309Z
880,481,0.43306599999999995,2024-06-21T19:16:06.318Z
874,480,0.449712,2024-06-21T19:16:06.334Z
879,486,0.466361,2024-06-21T19:16:06.361Z
883,482,0.48301499999999997,2024-06-21T19:16:06.367Z
878,478,0.49966999999999995,2024-06-21T19:16:06.381Z
877,478,0.516326,2024-06-21T19:16:06.397Z
877,473,0.532978,2024-06-21T19:16:06.428Z
876,472,0.54963,2024-06-21T19:16:06.444Z
876,474,0.566282,2024-06-21T19:16:06.460Z
878,476,0.582935,2024-06-21T19:16:06.476Z
880,475,0.59959,2024-06-21T19:16:06.492Z
876,469,0.6162449999999999,2024-06-21T19:16:06.507Z
866,465,0.6329,2024-06-21T19:16:06.523Z
864,460,0.649559,2024-06-21T19:16:06.538Z
869,455,0.666218,2024-06-21T19:16:06.554Z
873,453,0.682878,2024-06-21T19:16:06.576Z
872,457,0.699533,2024-06-21T19:16:06.587Z
867,457,0.7161879999999999,2024-06-21T19:16:06.603Z
867,454,0.732843,2024-06-21T19:16:06.619Z
867,455,0.749498,2024-06-21T19:16:06.634Z
871,455,0.766153,2024-06-21T19:16:06.650Z
871,451,0.782809,2024-06-21T19:16:06.669Z
866,453,0.799464,2024-06-21T19:16:06.682Z
853,443,0.8161189999999999,2024-06-21T19:16:06.697Z
816,395,0.8327749999999999,2024-06-21T19:16:06.713Z
704,244,0.84943,2024-06-21T19:16:06.728Z
691,223,0.866086,2024-06-21T19:16:06.760Z
693,218,0.882741,2024-06-21T19:16:06.776Z
696,222,0.899396,2024-06-21T19:16:06.791Z
699,226,0.9160510000000001,2024-06-21T19:16:06.807Z
698,227,0.9327059999999999,2024-06-21T19:16:06.823Z
696,228,0.9493619999999999,2024-06-21T19:16:06.842Z
695,218,0.966015,2024-06-21T19:16:06.855Z
699,218,0.982668,2024-06-21T19:16:06.876Z
698,223,0.9993199999999999,2024-06-21T19:16:06.892Z
697,222,1.015972,2024-06-21T19:16:06.907Z
696,220,1.032624,2024-06-21T19:16:06.923Z
655,202,1.049276,2024-06-21T19:16:06.938Z
603,184,1.0659260000000002,2024-06-21T19:16:06.954Z
585,182,1.0825790000000002,2024-06-21T19:16:06.970Z
585,174,1.0992300000000002,2024-06-21T19:16:06.986Z
590,173,1.11588,2024-06-21T19:16:07.001Z
586,176,1.132532,2024-06-21T19:16:07.017Z
587,176,1.149183,2024-06-21T19:16:07.033Z
591,171,1.1658350000000002,2024-06-21T19:16:07.048Z
593,169,1.1824890000000001,2024-06-21T19:16:07.069Z
590,169,1.199144,2024-06-21T19:16:07.080Z
585,169,1.215799,2024-06-21T19:16:07.096Z
586,167,1.232452,2024-06-21T19:16:07.127Z
591,169,1.2491070000000002,2024-06-21T19:16:07.142Z
588,171,1.265762,2024-06-21T19:16:07.158Z
585,166,1.282416,2024-06-21T19:16:07.174Z
587,160,1.2990700000000002,2024-06-21T19:16:07.190Z
587,160,1.315725,2024-06-21T19:16:07.205Z
581,167,1.332379,2024-06-21T19:16:07.221Z
580,167,1.3490330000000001,2024-06-21T19:16:07.237Z
586,166,1.365688,2024-06-21T19:16:07.252Z
588,167,1.3823420000000002,2024-06-21T19:16:07.269Z
591,162,1.398997,2024-06-21T19:16:07.284Z
619,157,1.41565,2024-06-21T19:16:07.300Z
649,160,1.4323050000000002,2024-06-21T19:16:07.315Z
656,166,1.448959,2024-06-21T19:16:07.331Z
649,164,1.465613,2024-06-21T19:16:07.347Z
648,162,1.482267,2024-06-21T19:16:07.369Z
647,167,1.49892,2024-06-21T19:16:07.394Z
643,165,1.5155750000000001,2024-06-21T19:16:07.410Z
643,159,1.532229,2024-06-21T19:16:07.426Z
642,162,1.548882,2024-06-21T19:16:07.441Z
646,161,1.5655370000000002,2024-06-21T19:16:07.457Z
650,161,1.5821910000000001,2024-06-21T19:16:07.477Z
643,155,1.5988440000000002,2024-06-21T19:16:07.489Z
644,150,1.615498,2024-06-21T19:16:07.505Z
645,160,1.632152,2024-06-21T19:16:07.521Z
642,165,1.648805,2024-06-21T19:16:07.536Z
646,163,1.665459,2024-06-21T19:16:07.552Z
663,159,1.6821130000000002,2024-06-21T19:16:07.570Z
722,160,1.698768,2024-06-21T19:16:07.584Z
814,175,1.715421,2024-06-21T19:16:07.599Z
801,173,1.732075,2024-06-21T19:16:07.615Z
796,177,1.748728,2024-06-21T19:16:07.630Z
795,174,1.765382,2024-06-21T19:16:07.662Z
794,172,1.782035,2024-06-21T19:16:07.678Z
786,173,1.7986900000000001,2024-06-21T19:16:07.695Z
786,172,1.8153430000000002,2024-06-21T19:16:07.710Z
796,171,1.831998,2024-06-21T19:16:07.726Z
783,170,1.8486520000000002,2024-06-21T19:16:07.741Z
743,167,1.8653060000000001,2024-06-21T19:16:07.757Z
726,165,1.88196,2024-06-21T19:16:07.773Z
726,161,1.898615,2024-06-21T19:16:07.789Z
726,162,1.9152680000000002,2024-06-21T19:16:07.804Z
730,168,1.9319230000000003,2024-06-21T19:16:07.825Z
727,168,1.9485770000000002,2024-06-21T19:16:07.836Z
724,165,1.9652320000000003,2024-06-21T19:16:07.852Z
725,164,1.9818850000000001,2024-06-21T19:16:07.872Z
722,164,1.9985400000000002,2024-06-21T19:16:07.884Z
725,163,2.015194,2024-06-21T19:16:07.900Z
728,168,2.031848,2024-06-21T19:16:07.915Z
726,169,2.048502,2024-06-21T19:16:07.931Z
726,160,2.065157,2024-06-21T19:16:07.947Z
727,160,2.08181,2024-06-21T19:16:07.972Z
727,159,2.098465,2024-06-21T19:16:07.994Z
726,161,2.115119,2024-06-21T19:16:08.010Z
728,163,2.131773,2024-06-21T19:16:08.025Z
729,165,2.1484270000000003,2024-06-21T19:16:08.042Z
732,169,2.165082,2024-06-21T19:16:08.057Z
730,166,2.181735,2024-06-21T19:16:08.074Z
724,164,2.1983900000000003,2024-06-21T19:16:08.090Z
746,161,2.2150440000000002,2024-06-21T19:16:08.105Z
813,158,2.231699,2024-06-21T19:16:08.121Z
841,161,2.248352,2024-06-21T19:16:08.137Z
841,172,2.265007,2024-06-21T19:16:08.152Z
840,173,2.281661,2024-06-21T19:16:08.173Z
837,165,2.298315,2024-06-21T19:16:08.184Z
838,166,2.31497,2024-06-21T19:16:08.200Z
842,164,2.331626,2024-06-21T19:16:08.215Z
838,165,2.34828,2024-06-21T19:16:08.231Z
840,177,2.3649370000000003,2024-06-21T19:16:08.247Z
842,176,2.381592,2024-06-21T19:16:08.273Z
838,165,2.398247,2024-06-21T19:16:08.281Z
836,162,2.414902,2024-06-21T19:16:08.294Z
830,157,2.431559,2024-06-21T19:16:08.326Z
832,157,2.448213,2024-06-21T19:16:08.341Z
838,165,2.464869,2024-06-21T19:16:08.357Z
837,167,2.481525,2024-06-21T19:16:08.373Z
836,170,2.498181,2024-06-21T19:16:08.389Z
837,171,2.5148360000000003,2024-06-21T19:16:08.405Z
837,159,2.531492,2024-06-21T19:16:08.420Z
837,157,2.5481480000000003,2024-06-21T19:16:08.436Z
837,162,2.564803,2024-06-21T19:16:08.452Z
838,161,2.581459,2024-06-21T19:16:08.474Z
823,163,2.598115,2024-06-21T19:16:08.484Z
735,161,2.61477,2024-06-21T19:16:08.500Z
