x,y,time_seconds,current_time,postID,screenshot_filename
726,232,304.417412,2024-06-21 19:21:10.269,4,screenshot_2024-06-21T19_21_11.png
726,233,304.434067,2024-06-21 19:21:10.285,4,screenshot_2024-06-21T19_21_11.png
726,235,304.450722,2024-06-21 19:21:10.301,4,screenshot_2024-06-21T19_21_11.png
726,234,304.467376,2024-06-21 19:21:10.317,4,screenshot_2024-06-21T19_21_11.png
725,232,304.484031,2024-06-21 19:21:10.332,4,screenshot_2024-06-21T19_21_11.png
723,235,304.500685,2024-06-21 19:21:10.348,4,screenshot_2024-06-21T19_21_11.png
729,236,304.517339,2024-06-21 19:21:10.364,4,screenshot_2024-06-21T19_21_11.png
732,238,304.533994,2024-06-21 19:21:10.379,4,screenshot_2024-06-21T19_21_11.png
733,240,304.550649,2024-06-21 19:21:10.395,4,screenshot_2024-06-21T19_21_11.png
736,239,304.567303,2024-06-21 19:21:10.411,4,screenshot_2024-06-21T19_21_11.png
724,232,304.583958,2024-06-21 19:21:10.427,4,screenshot_2024-06-21T19_21_11.png
725,232,304.600613,2024-06-21 19:21:10.442,4,screenshot_2024-06-21T19_21_11.png
732,237,304.61726600000003,2024-06-21 19:21:10.474,4,screenshot_2024-06-21T19_21_11.png
682,210,304.633921,2024-06-21 19:21:10.489,4,screenshot_2024-06-21T19_21_11.png
644,195,304.650576,2024-06-21 19:21:10.505,4,screenshot_2024-06-21T19_21_11.png
643,199,304.66723,2024-06-21 19:21:10.521,4,screenshot_2024-06-21T19_21_11.png
635,196,304.683885,2024-06-21 19:21:10.537,4,screenshot_2024-06-21T19_21_11.png
637,192,304.70054,2024-06-21 19:21:10.553,4,screenshot_2024-06-21T19_21_11.png
641,198,304.717195,2024-06-21 19:21:10.568,4,screenshot_2024-06-21T19_21_11.png
642,200,304.733848,2024-06-21 19:21:10.584,4,screenshot_2024-06-21T19_21_11.png
633,173,304.750503,2024-06-21 19:21:10.605,4,screenshot_2024-06-21T19_21_11.png
627,161,304.767158,2024-06-21 19:21:10.615,4,screenshot_2024-06-21T19_21_11.png
629,166,304.783812,2024-06-21 19:21:10.631,4,screenshot_2024-06-21T19_21_11.png
623,164,304.800467,2024-06-21 19:21:10.647,4,screenshot_2024-06-21T19_21_11.png
623,166,304.817122,2024-06-21 19:21:10.662,4,screenshot_2024-06-21T19_21_11.png
625,165,304.833776,2024-06-21 19:21:10.678,4,screenshot_2024-06-21T19_21_11.png
624,165,304.85043,2024-06-21 19:21:10.694,4,screenshot_2024-06-21T19_21_11.png
625,164,304.867085,2024-06-21 19:21:10.720,4,screenshot_2024-06-21T19_21_11.png
624,159,304.883739,2024-06-21 19:21:10.725,4,screenshot_2024-06-21T19_21_11.png
623,157,304.900394,2024-06-21 19:21:10.757,4,screenshot_2024-06-21T19_21_11.png
622,157,304.917049,2024-06-21 19:21:10.773,4,screenshot_2024-06-21T19_21_11.png
622,158,304.933703,2024-06-21 19:21:10.788,4,screenshot_2024-06-21T19_21_11.png
