x,y,time_seconds,current_time
757,713,0.0,2024-06-21T18:59:16.512Z
796,710,0.016659999999999994,2024-06-21T18:59:16.527Z
776,666,0.033317,2024-06-21T18:59:16.543Z
744,644,0.049975000000000006,2024-06-21T18:59:16.574Z
768,619,0.06663299999999998,2024-06-21T18:59:16.590Z
755,606,0.08328999999999999,2024-06-21T18:59:16.606Z
738,610,0.09993999999999999,2024-06-21T18:59:16.621Z
737,615,0.11658999999999999,2024-06-21T18:59:16.637Z
745,620,0.13323799999999997,2024-06-21T18:59:16.653Z
746,596,0.14989399999999997,2024-06-21T18:59:16.668Z
738,593,0.166551,2024-06-21T18:59:16.684Z
735,590,0.18320699999999995,2024-06-21T18:59:16.700Z
735,590,0.19986299999999996,2024-06-21T18:59:16.716Z
732,591,0.21652,2024-06-21T18:59:16.731Z
726,581,0.233176,2024-06-21T18:59:16.747Z
729,581,0.24983299999999997,2024-06-21T18:59:16.762Z
740,589,0.26649,2024-06-21T18:59:16.778Z
733,571,0.28314599999999995,2024-06-21T18:59:16.794Z
720,578,0.29980199999999996,2024-06-21T18:59:16.810Z
720,583,0.316444,2024-06-21T18:59:16.842Z
719,573,0.33307699999999996,2024-06-21T18:59:16.857Z
715,581,0.349709,2024-06-21T18:59:16.873Z
701,675,0.36635599999999996,2024-06-21T18:59:16.888Z
650,797,0.383011,2024-06-21T18:59:16.905Z
629,799,0.39966399999999996,2024-06-21T18:59:16.920Z
608,802,0.41631899999999994,2024-06-21T18:59:16.936Z
587,805,0.43297499999999994,2024-06-21T18:59:16.951Z
566,808,0.44963099999999995,2024-06-21T18:59:16.967Z
545,811,0.466288,2024-06-21T18:59:16.983Z
525,814,0.48294299999999996,2024-06-21T18:59:16.999Z
793,767,0.499597,2024-06-21T18:59:17.015Z
794,756,0.516251,2024-06-21T18:59:17.030Z
711,722,0.532908,2024-06-21T18:59:17.046Z
726,705,0.5495690000000001,2024-06-21T18:59:17.077Z
720,593,0.5662280000000001,2024-06-21T18:59:17.077Z
718,560,0.582887,2024-06-21T18:59:17.093Z
725,534,0.599543,2024-06-21T18:59:17.109Z
728,574,0.616197,2024-06-21T18:59:17.140Z
724,578,0.6328520000000001,2024-06-21T18:59:17.156Z
708,588,0.6495120000000001,2024-06-21T18:59:17.171Z
721,571,0.666173,2024-06-21T18:59:17.187Z
730,580,0.682836,2024-06-21T18:59:17.203Z
730,578,0.699493,2024-06-21T18:59:17.219Z
724,570,0.716148,2024-06-21T18:59:17.235Z
721,567,0.732804,2024-06-21T18:59:17.250Z
720,569,0.749456,2024-06-21T18:59:17.266Z
720,572,0.7661020000000001,2024-06-21T18:59:17.281Z
727,573,0.782748,2024-06-21T18:59:17.297Z
729,570,0.799394,2024-06-21T18:59:17.313Z
723,570,0.81604,2024-06-21T18:59:17.329Z
724,574,0.8326840000000001,2024-06-21T18:59:17.344Z
727,571,0.8493310000000001,2024-06-21T18:59:17.360Z
726,568,0.865986,2024-06-21T18:59:17.376Z
722,566,0.8826390000000001,2024-06-21T18:59:17.407Z
724,563,0.899294,2024-06-21T18:59:17.423Z
722,560,0.915948,2024-06-21T18:59:17.439Z
721,569,0.9326019999999999,2024-06-21T18:59:17.454Z
719,573,0.9492560000000001,2024-06-21T18:59:17.470Z
714,568,0.965911,2024-06-21T18:59:17.486Z
718,568,0.982564,2024-06-21T18:59:17.502Z
714,569,0.9992179999999999,2024-06-21T18:59:17.518Z
714,564,1.015873,2024-06-21T18:59:17.533Z
721,557,1.032526,2024-06-21T18:59:17.549Z
716,559,1.04918,2024-06-21T18:59:17.564Z
717,573,1.065834,2024-06-21T18:59:17.580Z
720,562,1.082489,2024-06-21T18:59:17.596Z
713,564,1.099142,2024-06-21T18:59:17.615Z
718,568,1.115796,2024-06-21T18:59:17.628Z
725,567,1.132451,2024-06-21T18:59:17.644Z
732,569,1.1491040000000001,2024-06-21T18:59:17.675Z
732,563,1.165758,2024-06-21T18:59:17.691Z
728,566,1.182413,2024-06-21T18:59:17.707Z
640,545,1.199066,2024-06-21T18:59:17.723Z
579,527,1.2157200000000001,2024-06-21T18:59:17.739Z
-251,304,1.232375,2024-06-21T18:59:17.754Z
-251,304,1.249028,2024-06-21T18:59:17.770Z
-227,309,1.265682,2024-06-21T18:59:17.786Z
-204,314,1.282337,2024-06-21T18:59:17.802Z
-180,320,1.29899,2024-06-21T18:59:17.818Z
-157,325,1.315644,2024-06-21T18:59:17.833Z
-133,331,1.3322990000000001,2024-06-21T18:59:17.849Z
-110,336,1.348953,2024-06-21T18:59:17.864Z
-87,342,1.365606,2024-06-21T18:59:17.880Z
-63,347,1.38226,2024-06-21T18:59:17.896Z
-40,353,1.3989150000000001,2024-06-21T18:59:17.912Z
-16,358,1.415567,2024-06-21T18:59:17.927Z
6,364,1.43222,2024-06-21T18:59:17.943Z
29,369,1.448874,2024-06-21T18:59:17.959Z
53,375,1.465526,2024-06-21T18:59:17.982Z
76,380,1.4821790000000001,2024-06-21T18:59:17.995Z
100,386,1.498833,2024-06-21T18:59:18.007Z
123,391,1.515485,2024-06-21T18:59:18.039Z
146,396,1.532138,2024-06-21T18:59:18.054Z
170,402,1.548792,2024-06-21T18:59:18.070Z
193,407,1.565444,2024-06-21T18:59:18.085Z
217,413,1.582097,2024-06-21T18:59:18.102Z
240,418,1.5987500000000001,2024-06-21T18:59:18.118Z
263,424,1.6154030000000001,2024-06-21T18:59:18.133Z
287,429,1.632055,2024-06-21T18:59:18.149Z
310,435,1.648709,2024-06-21T18:59:18.164Z
334,440,1.665362,2024-06-21T18:59:18.180Z
357,446,1.6820140000000001,2024-06-21T18:59:18.199Z
381,451,1.698667,2024-06-21T18:59:18.211Z
404,457,1.71532,2024-06-21T18:59:18.227Z
427,462,1.731972,2024-06-21T18:59:18.243Z
451,468,1.748624,2024-06-21T18:59:18.259Z
474,473,1.765277,2024-06-21T18:59:18.290Z
498,479,1.781929,2024-06-21T18:59:18.306Z
521,484,1.7985820000000001,2024-06-21T18:59:18.322Z
544,489,1.815236,2024-06-21T18:59:18.337Z
568,495,1.831889,2024-06-21T18:59:18.353Z
591,500,1.848543,2024-06-21T18:59:18.369Z
615,506,1.865197,2024-06-21T18:59:18.385Z
638,511,1.881851,2024-06-21T18:59:18.401Z
