x,y,time_seconds,current_time
1100,617,0.0,2024-06-21T16:36:25.250Z
997,615,0.016660000000000008,2024-06-21T16:36:25.266Z
965,568,0.033320000000000016,2024-06-21T16:36:25.281Z
990,475,0.049976999999999994,2024-06-21T16:36:25.303Z
981,463,0.066632,2024-06-21T16:36:25.312Z
996,461,0.083289,2024-06-21T16:36:25.328Z
1010,427,0.099941,2024-06-21T16:36:25.359Z
1050,354,0.11659,2024-06-21T16:36:25.375Z
1032,378,0.133241,2024-06-21T16:36:25.390Z
1014,402,0.14989600000000003,2024-06-21T16:36:25.406Z
997,426,0.166551,2024-06-21T16:36:25.422Z
979,450,0.183207,2024-06-21T16:36:25.438Z
962,474,0.199861,2024-06-21T16:36:25.453Z
944,498,0.21650799999999998,2024-06-21T16:36:25.469Z
927,523,0.233155,2024-06-21T16:36:25.479Z
928,633,0.24980400000000003,2024-06-21T16:36:25.495Z
910,586,0.266459,2024-06-21T16:36:25.526Z
902,527,0.283113,2024-06-21T16:36:25.543Z
919,521,0.299768,2024-06-21T16:36:25.558Z
911,505,0.316416,2024-06-21T16:36:25.574Z
902,498,0.333061,2024-06-21T16:36:25.590Z
906,505,0.349707,2024-06-21T16:36:25.605Z
900,517,0.366361,2024-06-21T16:36:25.628Z
905,508,0.383014,2024-06-21T16:36:25.637Z
912,499,0.39966799999999997,2024-06-21T16:36:25.653Z
920,503,0.41632399999999997,2024-06-21T16:36:25.669Z
927,515,0.432985,2024-06-21T16:36:25.692Z
935,538,0.44964699999999996,2024-06-21T16:36:25.700Z
972,611,0.466308,2024-06-21T16:36:25.716Z
1014,686,0.48296200000000006,2024-06-21T16:36:25.732Z
987,652,0.49961700000000003,2024-06-21T16:36:25.748Z
973,656,0.5162720000000001,2024-06-21T16:36:25.763Z
981,656,0.5329280000000001,2024-06-21T16:36:25.779Z
987,650,0.5495840000000001,2024-06-21T16:36:25.810Z
971,648,0.5662419999999999,2024-06-21T16:36:25.826Z
974,639,0.5828979999999999,2024-06-21T16:36:25.842Z
987,645,0.5995520000000001,2024-06-21T16:36:25.858Z
983,650,0.616207,2024-06-21T16:36:25.874Z
985,649,0.632862,2024-06-21T16:36:25.890Z
987,651,0.649519,2024-06-21T16:36:25.906Z
977,651,0.6661779999999999,2024-06-21T16:36:25.922Z
977,647,0.6828369999999999,2024-06-21T16:36:25.944Z
968,643,0.699492,2024-06-21T16:36:25.954Z
961,651,0.716148,2024-06-21T16:36:25.970Z
978,648,0.7328030000000001,2024-06-21T16:36:25.986Z
978,643,0.749457,2024-06-21T16:36:26.002Z
959,644,0.766111,2024-06-21T16:36:26.017Z
941,503,0.782764,2024-06-21T16:36:26.033Z
945,508,0.799418,2024-06-21T16:36:26.050Z
943,504,0.8160700000000001,2024-06-21T16:36:26.065Z
943,500,0.832724,2024-06-21T16:36:26.081Z
945,498,0.8493790000000001,2024-06-21T16:36:26.096Z
952,495,0.866033,2024-06-21T16:36:26.128Z
947,486,0.8826879999999999,2024-06-21T16:36:26.143Z
944,487,0.899343,2024-06-21T16:36:26.159Z
942,486,0.915997,2024-06-21T16:36:26.175Z
886,420,0.932653,2024-06-21T16:36:26.191Z
615,202,0.949308,2024-06-21T16:36:26.206Z
595,187,0.9659609999999998,2024-06-21T16:36:26.222Z
596,184,0.9826139999999999,2024-06-21T16:36:26.238Z
600,185,0.9992669999999999,2024-06-21T16:36:26.254Z
602,189,1.015919,2024-06-21T16:36:26.270Z
597,186,1.032571,2024-06-21T16:36:26.285Z
599,186,1.049223,2024-06-21T16:36:26.302Z
602,187,1.065875,2024-06-21T16:36:26.317Z
598,190,1.082527,2024-06-21T16:36:26.334Z
592,185,1.099179,2024-06-21T16:36:26.350Z
595,182,1.115831,2024-06-21T16:36:26.365Z
600,192,1.132482,2024-06-21T16:36:26.381Z
606,190,1.149133,2024-06-21T16:36:26.396Z
616,188,1.165786,2024-06-21T16:36:26.427Z
616,190,1.18244,2024-06-21T16:36:26.443Z
611,188,1.1990939999999999,2024-06-21T16:36:26.459Z
