x,y,time_seconds,current_time
714,526,0.0,2024-06-22T19:40:26.112Z
711,531,0.016660999999999995,2024-06-22T19:40:26.128Z
716,530,0.033322000000000004,2024-06-22T19:40:26.143Z
722,535,0.04998100000000001,2024-06-22T19:40:26.175Z
724,539,0.06664099999999999,2024-06-22T19:40:26.191Z
721,539,0.083299,2024-06-22T19:40:26.206Z
723,544,0.099946,2024-06-22T19:40:26.222Z
730,547,0.11659100000000001,2024-06-22T19:40:26.238Z
728,554,0.133233,2024-06-22T19:40:26.253Z
743,534,0.149889,2024-06-22T19:40:26.269Z
881,448,0.166547,2024-06-22T19:40:26.285Z
890,459,0.183203,2024-06-22T19:40:26.301Z
890,456,0.19985599999999998,2024-06-22T19:40:26.316Z
895,461,0.216495,2024-06-22T19:40:26.332Z
901,464,0.233132,2024-06-22T19:40:26.347Z
895,456,0.249774,2024-06-22T19:40:26.363Z
895,455,0.26642899999999997,2024-06-22T19:40:26.384Z
893,452,0.283085,2024-06-22T19:40:26.395Z
890,456,0.29974,2024-06-22T19:40:26.410Z
898,464,0.316395,2024-06-22T19:40:26.442Z
898,466,0.333052,2024-06-22T19:40:26.457Z
891,465,0.349707,2024-06-22T19:40:26.473Z
896,456,0.36636399999999997,2024-06-22T19:40:26.489Z
879,464,0.38301999999999997,2024-06-22T19:40:26.504Z
673,667,0.39967400000000003,2024-06-22T19:40:26.520Z
670,684,0.41633099999999995,2024-06-22T19:40:26.536Z
674,676,0.433,2024-06-22T19:40:26.551Z
669,680,0.44966900000000004,2024-06-22T19:40:26.567Z
662,684,0.46634000000000003,2024-06-22T19:40:26.584Z
678,684,0.48299600000000004,2024-06-22T19:40:26.599Z
677,681,0.49965200000000004,2024-06-22T19:40:26.614Z
661,680,0.516309,2024-06-22T19:40:26.630Z
660,679,0.532962,2024-06-22T19:40:26.646Z
665,676,0.549613,2024-06-22T19:40:26.661Z
670,495,0.566261,2024-06-22T19:40:26.684Z
643,340,0.582914,2024-06-22T19:40:26.708Z
617,203,0.5995710000000001,2024-06-22T19:40:26.724Z
615,194,0.616226,2024-06-22T19:40:26.739Z
617,184,0.6328820000000001,2024-06-22T19:40:26.755Z
618,193,0.6495380000000001,2024-06-22T19:40:26.771Z
621,194,0.666192,2024-06-22T19:40:26.787Z
621,191,0.682848,2024-06-22T19:40:26.802Z
619,185,0.699504,2024-06-22T19:40:26.818Z
612,188,0.716159,2024-06-22T19:40:26.834Z
614,196,0.732816,2024-06-22T19:40:26.849Z
614,195,0.749471,2024-06-22T19:40:26.866Z
605,188,0.766123,2024-06-22T19:40:26.885Z
591,193,0.7827780000000001,2024-06-22T19:40:26.897Z
577,199,0.799431,2024-06-22T19:40:26.913Z
575,188,0.8160850000000001,2024-06-22T19:40:26.928Z
579,188,0.8327370000000001,2024-06-22T19:40:26.944Z
581,200,0.849392,2024-06-22T19:40:26.960Z
580,203,0.866048,2024-06-22T19:40:26.985Z
580,202,0.882703,2024-06-22T19:40:27.007Z
