x,y,time_seconds,current_time
996,696,0.0,2024-06-21T19:38:09.227Z
962,673,0.016666,2024-06-21T19:38:09.243Z
948,658,0.033323000000000005,2024-06-21T19:38:09.259Z
950,635,0.049976000000000007,2024-06-21T19:38:09.275Z
945,627,0.06662900000000001,2024-06-21T19:38:09.290Z
944,625,0.08328200000000001,2024-06-21T19:38:09.306Z
940,626,0.09994300000000002,2024-06-21T19:38:09.321Z
922,618,0.116603,2024-06-21T19:38:09.342Z
889,578,0.133264,2024-06-21T19:38:09.353Z
851,503,0.149918,2024-06-21T19:38:09.369Z
847,516,0.16657099999999997,2024-06-21T19:38:09.384Z
850,513,0.18322499999999997,2024-06-21T19:38:09.400Z
853,510,0.19988099999999998,2024-06-21T19:38:09.416Z
850,510,0.21654,2024-06-21T19:38:09.442Z
852,507,0.233199,2024-06-21T19:38:09.447Z
846,510,0.249857,2024-06-21T19:38:09.463Z
848,514,0.266511,2024-06-21T19:38:09.494Z
867,490,0.283165,2024-06-21T19:38:09.510Z
892,454,0.29982,2024-06-21T19:38:09.526Z
907,426,0.316482,2024-06-21T19:38:09.542Z
912,426,0.333144,2024-06-21T19:38:09.557Z
915,428,0.349809,2024-06-21T19:38:09.573Z
912,428,0.366465,2024-06-21T19:38:09.588Z
911,424,0.383119,2024-06-21T19:38:09.604Z
863,407,0.399775,2024-06-21T19:38:09.620Z
723,332,0.416432,2024-06-21T19:38:09.642Z
641,256,0.433095,2024-06-21T19:38:09.652Z
631,225,0.449759,2024-06-21T19:38:09.668Z
636,233,0.466422,2024-06-21T19:38:09.684Z
636,236,0.483078,2024-06-21T19:38:09.699Z
630,226,0.499733,2024-06-21T19:38:09.715Z
631,225,0.516389,2024-06-21T19:38:09.742Z
641,224,0.533049,2024-06-21T19:38:09.762Z
640,220,0.549711,2024-06-21T19:38:09.778Z
642,223,0.566373,2024-06-21T19:38:09.796Z
642,225,0.583033,2024-06-21T19:38:09.810Z
631,216,0.599688,2024-06-21T19:38:09.825Z
632,215,0.616345,2024-06-21T19:38:09.842Z
633,213,0.633001,2024-06-21T19:38:09.857Z
635,201,0.649655,2024-06-21T19:38:09.873Z
638,184,0.666311,2024-06-21T19:38:09.889Z
642,183,0.682966,2024-06-21T19:38:09.904Z
637,179,0.699622,2024-06-21T19:38:09.920Z
639,179,0.716278,2024-06-21T19:38:09.943Z
645,178,0.732935,2024-06-21T19:38:09.952Z
644,176,0.749592,2024-06-21T19:38:09.968Z
651,182,0.766251,2024-06-21T19:38:09.983Z
650,182,0.782911,2024-06-21T19:38:10.005Z
632,176,0.799571,2024-06-21T19:38:10.021Z
631,175,0.81623,2024-06-21T19:38:10.043Z
638,176,0.83289,2024-06-21T19:38:10.062Z
641,179,0.84955,2024-06-21T19:38:10.078Z
622,184,0.866206,2024-06-21T19:38:10.094Z
