x,y,time_seconds,current_time,postID,screenshot_filename
856,532,316.558044,2024-06-21 19:43:25.569,20,screenshot_2024-06-21T19_43_27.png
860,527,316.574698,2024-06-21 19:43:25.595,20,screenshot_2024-06-21T19_43_27.png
862,525,316.59135299999997,2024-06-21 19:43:25.616,20,screenshot_2024-06-21T19_43_27.png
857,530,316.608008,2024-06-21 19:43:25.632,20,screenshot_2024-06-21T19_43_27.png
854,529,316.624662,2024-06-21 19:43:25.647,20,screenshot_2024-06-21T19_43_27.png
857,529,316.64131599999996,2024-06-21 19:43:25.663,20,screenshot_2024-06-21T19_43_27.png
861,530,316.657971,2024-06-21 19:43:25.679,20,screenshot_2024-06-21T19_43_27.png
859,531,316.674625,2024-06-21 19:43:25.694,20,screenshot_2024-06-21T19_43_27.png
858,530,316.69128,2024-06-21 19:43:25.710,20,screenshot_2024-06-21T19_43_27.png
861,528,316.70793499999996,2024-06-21 19:43:25.726,20,screenshot_2024-06-21T19_43_27.png
864,531,316.72459,2024-06-21 19:43:25.742,20,screenshot_2024-06-21T19_43_27.png
860,534,316.741243,2024-06-21 19:43:25.758,20,screenshot_2024-06-21T19_43_27.png
855,534,316.757898,2024-06-21 19:43:25.773,20,screenshot_2024-06-21T19_43_27.png
862,541,316.77455299999997,2024-06-21 19:43:25.789,20,screenshot_2024-06-21T19_43_27.png
863,545,316.791207,2024-06-21 19:43:25.804,20,screenshot_2024-06-21T19_43_27.png
863,520,316.807862,2024-06-21 19:43:25.821,20,screenshot_2024-06-21T19_43_27.png
879,475,316.82451699999996,2024-06-21 19:43:25.836,20,screenshot_2024-06-21T19_43_27.png
889,449,316.841171,2024-06-21 19:43:25.852,20,screenshot_2024-06-21T19_43_27.png
892,454,316.857825,2024-06-21 19:43:25.868,20,screenshot_2024-06-21T19_43_27.png
886,470,316.87448,2024-06-21 19:43:25.899,20,screenshot_2024-06-21T19_43_27.png
881,471,316.89113399999997,2024-06-21 19:43:25.914,20,screenshot_2024-06-21T19_43_27.png
883,465,316.907789,2024-06-21 19:43:25.930,20,screenshot_2024-06-21T19_43_27.png
884,462,316.924444,2024-06-21 19:43:25.946,20,screenshot_2024-06-21T19_43_27.png
889,461,316.941098,2024-06-21 19:43:25.962,20,screenshot_2024-06-21T19_43_27.png
932,475,316.95775299999997,2024-06-21 19:43:25.978,20,screenshot_2024-06-21T19_43_27.png
1018,490,316.974407,2024-06-21 19:43:25.993,20,screenshot_2024-06-21T19_43_27.png
1018,482,316.991062,2024-06-21 19:43:26.015,20,screenshot_2024-06-21T19_43_27.png
1020,487,317.00771599999996,2024-06-21 19:43:26.023,20,screenshot_2024-06-21T19_43_27.png
1021,484,317.024371,2024-06-21 19:43:26.034,20,screenshot_2024-06-21T19_43_27.png
1019,478,317.041026,2024-06-21 19:43:26.065,20,screenshot_2024-06-21T19_43_27.png
1025,478,317.05768,2024-06-21 19:43:26.081,20,screenshot_2024-06-21T19_43_27.png
1025,474,317.07433399999996,2024-06-21 19:43:26.096,20,screenshot_2024-06-21T19_43_27.png
1023,472,317.090989,2024-06-21 19:43:26.112,20,screenshot_2024-06-21T19_43_27.png
974,461,317.107643,2024-06-21 19:43:26.128,20,screenshot_2024-06-21T19_43_27.png
855,446,317.124298,2024-06-21 19:43:26.144,20,screenshot_2024-06-21T19_43_27.png
793,447,317.14095299999997,2024-06-21 19:43:26.160,20,screenshot_2024-06-21T19_43_27.png
787,455,317.157607,2024-06-21 19:43:26.175,20,screenshot_2024-06-21T19_43_27.png
788,456,317.174262,2024-06-21 19:43:26.191,20,screenshot_2024-06-21T19_43_27.png
787,455,317.19091599999996,2024-06-21 19:43:26.207,20,screenshot_2024-06-21T19_43_27.png
782,452,317.20757,2024-06-21 19:43:26.223,20,screenshot_2024-06-21T19_43_27.png
780,449,317.224225,2024-06-21 19:43:26.239,20,screenshot_2024-06-21T19_43_27.png
783,451,317.24088,2024-06-21 19:43:26.255,20,screenshot_2024-06-21T19_43_27.png
785,454,317.25753499999996,2024-06-21 19:43:26.270,20,screenshot_2024-06-21T19_43_27.png
788,453,317.274189,2024-06-21 19:43:26.286,20,screenshot_2024-06-21T19_43_27.png
789,450,317.290844,2024-06-21 19:43:26.301,20,screenshot_2024-06-21T19_43_27.png
791,458,317.307498,2024-06-21 19:43:26.327,20,screenshot_2024-06-21T19_43_27.png
785,460,317.32415199999997,2024-06-21 19:43:26.335,20,screenshot_2024-06-21T19_43_27.png
758,415,317.340807,2024-06-21 19:43:26.365,20,screenshot_2024-06-21T19_43_27.png
645,267,317.357462,2024-06-21 19:43:26.380,20,screenshot_2024-06-21T19_43_27.png
626,240,317.37411599999996,2024-06-21 19:43:26.396,20,screenshot_2024-06-21T19_43_27.png
621,231,317.390771,2024-06-21 19:43:26.414,20,screenshot_2024-06-21T19_43_27.png
620,228,317.407425,2024-06-21 19:43:26.428,20,screenshot_2024-06-21T19_43_27.png
625,229,317.424079,2024-06-21 19:43:26.444,20,screenshot_2024-06-21T19_43_27.png
626,224,317.44073399999996,2024-06-21 19:43:26.460,20,screenshot_2024-06-21T19_43_27.png
626,220,317.457389,2024-06-21 19:43:26.475,20,screenshot_2024-06-21T19_43_27.png
623,221,317.474043,2024-06-21 19:43:26.491,20,screenshot_2024-06-21T19_43_27.png
620,221,317.490698,2024-06-21 19:43:26.506,20,screenshot_2024-06-21T19_43_27.png
618,218,317.50735299999997,2024-06-21 19:43:26.524,20,screenshot_2024-06-21T19_43_27.png
616,220,317.524007,2024-06-21 19:43:26.538,20,screenshot_2024-06-21T19_43_27.png
622,222,317.540661,2024-06-21 19:43:26.554,20,screenshot_2024-06-21T19_43_27.png
621,223,317.55731599999996,2024-06-21 19:43:26.569,20,screenshot_2024-06-21T19_43_27.png
612,217,317.573971,2024-06-21 19:43:26.585,20,screenshot_2024-06-21T19_43_27.png
622,222,317.590625,2024-06-21 19:43:26.601,20,screenshot_2024-06-21T19_43_27.png
646,224,317.60728,2024-06-21 19:43:26.624,20,screenshot_2024-06-21T19_43_27.png
700,221,317.62393499999996,2024-06-21 19:43:26.632,20,screenshot_2024-06-21T19_43_27.png
695,215,317.640588,2024-06-21 19:43:26.664,20,screenshot_2024-06-21T19_43_27.png
727,218,317.657243,2024-06-21 19:43:26.679,20,screenshot_2024-06-21T19_43_27.png
727,218,317.673898,2024-06-21 19:43:26.695,20,screenshot_2024-06-21T19_43_27.png
726,210,317.69055199999997,2024-06-21 19:43:26.711,20,screenshot_2024-06-21T19_43_27.png
707,226,317.707207,2024-06-21 19:43:26.727,20,screenshot_2024-06-21T19_43_27.png
704,225,317.723862,2024-06-21 19:43:26.742,20,screenshot_2024-06-21T19_43_27.png
703,222,317.74051499999996,2024-06-21 19:43:26.758,20,screenshot_2024-06-21T19_43_27.png
706,219,317.75717,2024-06-21 19:43:26.774,20,screenshot_2024-06-21T19_43_27.png
685,218,317.773825,2024-06-21 19:43:26.789,20,screenshot_2024-06-21T19_43_27.png
658,217,317.79048,2024-06-21 19:43:26.805,20,screenshot_2024-06-21T19_43_27.png
658,221,317.80713399999996,2024-06-21 19:43:26.824,20,screenshot_2024-06-21T19_43_27.png
659,221,317.823789,2024-06-21 19:43:26.837,20,screenshot_2024-06-21T19_43_27.png
659,219,317.840444,2024-06-21 19:43:26.853,20,screenshot_2024-06-21T19_43_27.png
657,221,317.857097,2024-06-21 19:43:26.881,20,screenshot_2024-06-21T19_43_27.png
660,224,317.87375199999997,2024-06-21 19:43:26.898,20,screenshot_2024-06-21T19_43_27.png
659,222,317.890407,2024-06-21 19:43:26.913,20,screenshot_2024-06-21T19_43_27.png
660,222,317.907061,2024-06-21 19:43:26.929,20,screenshot_2024-06-21T19_43_27.png
661,222,317.92371599999996,2024-06-21 19:43:26.945,20,screenshot_2024-06-21T19_43_27.png
667,226,317.94037099999997,2024-06-21 19:43:26.961,20,screenshot_2024-06-21T19_43_27.png
665,225,317.957025,2024-06-21 19:43:26.977,20,screenshot_2024-06-21T19_43_27.png
651,218,317.973679,2024-06-21 19:43:26.992,20,screenshot_2024-06-21T19_43_27.png
633,238,317.99033399999996,2024-06-21 19:43:27.008,20,screenshot_2024-06-21T19_43_27.png
641,253,318.006988,2024-06-21 19:43:27.025,20,screenshot_2024-06-21T19_43_27.png
651,259,318.023643,2024-06-21 19:43:27.040,20,screenshot_2024-06-21T19_43_27.png
644,260,318.040298,2024-06-21 19:43:27.056,20,screenshot_2024-06-21T19_43_27.png
646,262,318.05695299999996,2024-06-21 19:43:27.072,20,screenshot_2024-06-21T19_43_27.png
