x,y,time_seconds,current_time
896,723,0.0,2024-06-21T21:38:55.447Z
876,732,0.016652,2024-06-21T21:38:55.479Z
861,694,0.033307,2024-06-21T21:38:55.494Z
863,642,0.04996500000000001,2024-06-21T21:38:55.510Z
875,614,0.06662300000000002,2024-06-21T21:38:55.525Z
892,562,0.08327700000000002,2024-06-21T21:38:55.542Z
891,570,0.09992999999999999,2024-06-21T21:38:55.558Z
892,564,0.11658100000000002,2024-06-21T21:38:55.573Z
882,567,0.13323500000000002,2024-06-21T21:38:55.589Z
887,572,0.14989700000000003,2024-06-21T21:38:55.606Z
867,566,0.16655899999999998,2024-06-21T21:38:55.621Z
794,550,0.183221,2024-06-21T21:38:55.640Z
771,543,0.199875,2024-06-21T21:38:55.653Z
764,546,0.216527,2024-06-21T21:38:55.669Z
761,545,0.233181,2024-06-21T21:38:55.684Z
762,543,0.24983800000000003,2024-06-21T21:38:55.700Z
761,543,0.26649599999999996,2024-06-21T21:38:55.716Z
759,546,0.283157,2024-06-21T21:38:55.741Z
761,550,0.29981500000000005,2024-06-21T21:38:55.763Z
761,547,0.31646799999999997,2024-06-21T21:38:55.779Z
761,543,0.33312200000000003,2024-06-21T21:38:55.795Z
766,549,0.349777,2024-06-21T21:38:55.810Z
764,547,0.366436,2024-06-21T21:38:55.826Z
763,543,0.3830950000000001,2024-06-21T21:38:55.841Z
768,545,0.399756,2024-06-21T21:38:55.857Z
767,548,0.4164110000000001,2024-06-21T21:38:55.873Z
789,558,0.43306500000000003,2024-06-21T21:38:55.889Z
855,585,0.44972,2024-06-21T21:38:55.904Z
962,632,0.466376,2024-06-21T21:38:55.920Z
973,636,0.483036,2024-06-21T21:38:55.942Z
974,635,0.4996980000000001,2024-06-21T21:38:55.952Z
972,637,0.516358,2024-06-21T21:38:55.975Z
975,638,0.533012,2024-06-21T21:38:55.983Z
974,635,0.549667,2024-06-21T21:38:55.999Z
975,632,0.566323,2024-06-21T21:38:56.030Z
972,629,0.5829770000000001,2024-06-21T21:38:56.042Z
965,631,0.599626,2024-06-21T21:38:56.062Z
968,635,0.616274,2024-06-21T21:38:56.078Z
969,635,0.632922,2024-06-21T21:38:56.094Z
971,635,0.649575,2024-06-21T21:38:56.109Z
978,643,0.6662290000000001,2024-06-21T21:38:56.125Z
