x,y,time_seconds,current_time,postID,screenshot_filename
937,738,318.98460700000004,2024-06-21 21:44:16.008,7,screenshot_2024-06-21T21_44_19.png
931,730,319.00126100000006,2024-06-21 21:44:16.024,7,screenshot_2024-06-21T21_44_19.png
914,643,319.017915,2024-06-21 21:44:16.040,7,screenshot_2024-06-21T21_44_19.png
903,422,319.03457000000003,2024-06-21 21:44:16.056,7,screenshot_2024-06-21T21_44_19.png
903,418,319.05122400000005,2024-06-21 21:44:16.071,7,screenshot_2024-06-21T21_44_19.png
905,413,319.067879,2024-06-21 21:44:16.087,7,screenshot_2024-06-21T21_44_19.png
909,408,319.084534,2024-06-21 21:44:16.103,7,screenshot_2024-06-21T21_44_19.png
910,400,319.10118900000003,2024-06-21 21:44:16.130,7,screenshot_2024-06-21T21_44_19.png
907,399,319.11784300000005,2024-06-21 21:44:16.142,7,screenshot_2024-06-21T21_44_19.png
908,404,319.134498,2024-06-21 21:44:16.158,7,screenshot_2024-06-21T21_44_19.png
906,403,319.151153,2024-06-21 21:44:16.174,7,screenshot_2024-06-21T21_44_19.png
897,402,319.16780600000004,2024-06-21 21:44:16.190,7,screenshot_2024-06-21T21_44_19.png
899,403,319.18446100000006,2024-06-21 21:44:16.211,7,screenshot_2024-06-21T21_44_19.png
908,405,319.201116,2024-06-21 21:44:16.221,7,screenshot_2024-06-21T21_44_19.png
907,403,319.21777000000003,2024-06-21 21:44:16.246,7,screenshot_2024-06-21T21_44_19.png
904,401,319.23442500000004,2024-06-21 21:44:16.253,7,screenshot_2024-06-21T21_44_19.png
902,401,319.25108,2024-06-21 21:44:16.269,7,screenshot_2024-06-21T21_44_19.png
904,400,319.267734,2024-06-21 21:44:16.284,7,screenshot_2024-06-21T21_44_19.png
903,398,319.28438900000003,2024-06-21 21:44:16.300,7,screenshot_2024-06-21T21_44_19.png
896,397,319.30104300000005,2024-06-21 21:44:16.316,7,screenshot_2024-06-21T21_44_19.png
898,447,319.317697,2024-06-21 21:44:16.345,7,screenshot_2024-06-21T21_44_19.png
940,597,319.334352,2024-06-21 21:44:16.351,7,screenshot_2024-06-21T21_44_19.png
869,516,319.35100700000004,2024-06-21 21:44:16.365,7,screenshot_2024-06-21T21_44_19.png
