x,y,time_seconds,current_time
843,526,0.0,2024-06-21T04:16:22.883Z
831,526,0.016648999999999983,2024-06-21T04:16:22.901Z
820,501,0.03330599999999999,2024-06-21T04:16:22.918Z
820,487,0.049964999999999996,2024-06-21T04:16:22.934Z
811,476,0.066624,2024-06-21T04:16:22.952Z
793,466,0.083276,2024-06-21T04:16:22.967Z
789,487,0.09991199999999999,2024-06-21T04:16:22.985Z
787,488,0.116547,2024-06-21T04:16:23.000Z
793,483,0.133187,2024-06-21T04:16:23.018Z
789,490,0.149843,2024-06-21T04:16:23.034Z
788,478,0.166499,2024-06-21T04:16:23.051Z
790,478,0.183155,2024-06-21T04:16:23.067Z
783,504,0.199807,2024-06-21T04:16:23.085Z
779,507,0.21645999999999999,2024-06-21T04:16:23.100Z
778,494,0.23311199999999999,2024-06-21T04:16:23.117Z
780,493,0.24976700000000002,2024-06-21T04:16:23.133Z
780,485,0.266423,2024-06-21T04:16:23.152Z
779,490,0.283078,2024-06-21T04:16:23.167Z
776,500,0.299732,2024-06-21T04:16:23.184Z
769,492,0.316378,2024-06-21T04:16:23.199Z
776,483,0.333025,2024-06-21T04:16:23.218Z
782,505,0.349674,2024-06-21T04:16:23.233Z
783,505,0.366328,2024-06-21T04:16:23.251Z
812,499,0.382983,2024-06-21T04:16:23.266Z
829,501,0.39963800000000005,2024-06-21T04:16:23.285Z
823,495,0.416285,2024-06-21T04:16:23.300Z
821,494,0.432933,2024-06-21T04:16:23.317Z
821,494,0.44958,2024-06-21T04:16:23.333Z
823,491,0.466233,2024-06-21T04:16:23.351Z
828,492,0.482888,2024-06-21T04:16:23.367Z
826,497,0.49954200000000004,2024-06-21T04:16:23.384Z
828,497,0.516192,2024-06-21T04:16:23.400Z
824,498,0.53284,2024-06-21T04:16:23.418Z
820,498,0.5494870000000001,2024-06-21T04:16:23.434Z
824,484,0.566137,2024-06-21T04:16:23.451Z
825,491,0.582789,2024-06-21T04:16:23.466Z
827,503,0.5994430000000001,2024-06-21T04:16:23.484Z
826,493,0.616097,2024-06-21T04:16:23.500Z
827,513,0.6327510000000001,2024-06-21T04:16:23.518Z
830,515,0.649407,2024-06-21T04:16:23.534Z
836,486,0.666062,2024-06-21T04:16:23.551Z
833,487,0.682716,2024-06-21T04:16:23.567Z
882,516,0.699369,2024-06-21T04:16:23.584Z
979,550,0.716023,2024-06-21T04:16:23.600Z
1001,559,0.732677,2024-06-21T04:16:23.617Z
994,575,0.7493340000000001,2024-06-21T04:16:23.633Z
986,605,0.765992,2024-06-21T04:16:23.650Z
985,604,0.782649,2024-06-21T04:16:23.666Z
983,589,0.799307,2024-06-21T04:16:23.684Z
979,582,0.815965,2024-06-21T04:16:23.700Z
978,591,0.832622,2024-06-21T04:16:23.718Z
977,600,0.849276,2024-06-21T04:16:23.733Z
978,599,0.86593,2024-06-21T04:16:23.750Z
985,604,0.8825850000000001,2024-06-21T04:16:23.767Z
988,599,0.8992380000000001,2024-06-21T04:16:23.785Z
981,600,0.915892,2024-06-21T04:16:23.800Z
1003,596,0.9325469999999999,2024-06-21T04:16:23.817Z
1357,475,0.9491999999999999,2024-06-21T04:16:23.833Z
987,571,0.9658540000000001,2024-06-21T04:16:23.851Z
983,590,0.982509,2024-06-21T04:16:23.866Z
983,592,0.999162,2024-06-21T04:16:23.884Z
981,590,1.015817,2024-06-21T04:16:23.899Z
975,598,1.032471,2024-06-21T04:16:23.917Z
977,601,1.0491249999999999,2024-06-21T04:16:23.933Z
985,600,1.06578,2024-06-21T04:16:23.950Z
989,599,1.082434,2024-06-21T04:16:23.966Z
986,596,1.099089,2024-06-21T04:16:23.984Z
979,585,1.1157419999999998,2024-06-21T04:16:23.999Z
978,579,1.132396,2024-06-21T04:16:24.017Z
981,582,1.149052,2024-06-21T04:16:24.033Z
981,598,1.165705,2024-06-21T04:16:24.051Z
980,603,1.182359,2024-06-21T04:16:24.066Z
989,607,1.1990129999999999,2024-06-21T04:16:24.084Z
996,604,1.2156669999999998,2024-06-21T04:16:24.100Z
993,593,1.232321,2024-06-21T04:16:24.118Z
988,585,1.248975,2024-06-21T04:16:24.133Z
991,603,1.265629,2024-06-21T04:16:24.150Z
995,612,1.2822829999999998,2024-06-21T04:16:24.166Z
995,603,1.298937,2024-06-21T04:16:24.184Z
994,602,1.3155899999999998,2024-06-21T04:16:24.200Z
991,609,1.332245,2024-06-21T04:16:24.217Z
989,609,1.3488989999999998,2024-06-21T04:16:24.233Z
991,588,1.3655529999999998,2024-06-21T04:16:24.251Z
978,595,1.382207,2024-06-21T04:16:24.266Z
978,629,1.3988619999999998,2024-06-21T04:16:24.284Z
978,692,1.415517,2024-06-21T04:16:24.299Z
952,702,1.4321709999999999,2024-06-21T04:16:24.316Z
948,695,1.448828,2024-06-21T04:16:24.332Z
945,688,1.4654829999999999,2024-06-21T04:16:24.349Z
942,681,1.482138,2024-06-21T04:16:24.365Z
938,675,1.498794,2024-06-21T04:16:24.383Z
935,668,1.51545,2024-06-21T04:16:24.399Z
932,661,1.5321049999999998,2024-06-21T04:16:24.415Z
929,655,1.5487609999999998,2024-06-21T04:16:24.433Z
943,684,1.5654169999999998,2024-06-21T04:16:24.450Z
960,602,1.582072,2024-06-21T04:16:24.467Z
957,577,1.598728,2024-06-21T04:16:24.483Z
978,584,1.615384,2024-06-21T04:16:24.499Z
999,592,1.6320409999999999,2024-06-21T04:16:24.517Z
988,600,1.648696,2024-06-21T04:16:24.533Z
984,583,1.6653529999999999,2024-06-21T04:16:24.551Z
975,564,1.6820089999999999,2024-06-21T04:16:24.566Z
951,550,1.698664,2024-06-21T04:16:24.584Z
907,521,1.71532,2024-06-21T04:16:24.599Z
905,524,1.7319769999999999,2024-06-21T04:16:24.617Z
909,503,1.7486329999999999,2024-06-21T04:16:24.633Z
908,506,1.7652889999999999,2024-06-21T04:16:24.650Z
903,496,1.7819459999999998,2024-06-21T04:16:24.666Z
904,494,1.7986,2024-06-21T04:16:24.683Z
903,492,1.8152549999999998,2024-06-21T04:16:24.699Z
901,498,1.83191,2024-06-21T04:16:24.717Z
901,499,1.8485639999999999,2024-06-21T04:16:24.733Z
894,492,1.865219,2024-06-21T04:16:24.750Z
892,486,1.8818739999999998,2024-06-21T04:16:24.766Z
866,491,1.8985279999999998,2024-06-21T04:16:24.784Z
717,656,1.9151819999999997,2024-06-21T04:16:24.799Z
715,672,1.9318369999999998,2024-06-21T04:16:24.817Z
716,676,1.948492,2024-06-21T04:16:24.833Z
719,679,1.9651459999999998,2024-06-21T04:16:24.850Z
720,681,1.981801,2024-06-21T04:16:24.866Z
723,693,1.998456,2024-06-21T04:16:24.884Z
729,692,2.015109,2024-06-21T04:16:24.899Z
727,695,2.031764,2024-06-21T04:16:24.916Z
719,798,2.048419,2024-06-21T04:16:24.932Z
721,850,2.065073,2024-06-21T04:16:24.950Z
720,868,2.081728,2024-06-21T04:16:24.965Z
716,867,2.098383,2024-06-21T04:16:24.983Z
719,877,2.115036,2024-06-21T04:16:24.999Z
718,882,2.131691,2024-06-21T04:16:25.015Z
724,881,2.148346,2024-06-21T04:16:25.032Z
725,881,2.1650009999999997,2024-06-21T04:16:25.050Z
722,893,2.1816549999999997,2024-06-21T04:16:25.066Z
712,899,2.1983099999999998,2024-06-21T04:16:25.082Z
694,936,2.2149639999999997,2024-06-21T04:16:25.098Z
