x,y,time_seconds
1067,560,0.114107
1128,585,0.130768
1007,507,0.147429
985,526,0.164088
1124,588,0.180747
1049,584,0.197405
975,580,0.214041
1035,611,0.230668
1029,605,0.247294
1033,602,0.263944
1040,598,0.280598
1041,597,0.297253
1038,591,0.313909
1036,589,0.330575
1043,593,0.347244
1046,594,0.36391
1042,590,0.380566
1041,588,0.397222
1039,588,0.413877
1038,585,0.430536
1046,586,0.447198
1058,584,0.46386
1061,587,0.480521
1062,587,0.497177
1059,587,0.513833
1060,588,0.53049
1060,590,0.547136
1060,590,0.563782
1057,586,0.580426
1054,586,0.597081
1056,585,0.613737
1058,584,0.630392
1063,586,0.647046
1061,583,0.663695
1054,581,0.680343
1054,582,0.696994
1054,581,0.713649
1053,579,0.730303
1057,580,0.746959
1056,582,0.763609
1052,578,0.780256
1053,577,0.796904
1053,581,0.813558
1054,581,0.830213
1055,586,0.846867
1054,588,0.863521
1056,585,0.88017
1056,599,0.896818
1059,608,0.913467
1061,606,0.930116
1057,603,0.946763
1056,602,0.963412
1061,604,0.980066
1062,606,0.996719
1061,602,1.013374
1063,600,1.030028
1062,603,1.046681
1060,602,1.063335
1059,598,1.079989
1058,596,1.096639
1058,603,1.113288
1059,602,1.129938
1057,594,1.146587
1056,593,1.163236
1058,593,1.179885
1063,594,1.196534
1067,592,1.213181
1065,589,1.22983
1061,594,1.246478
988,559,1.263126
1025,572,1.279774
1063,585,1.296426
1101,598,1.313078
1139,612,1.329731
1050,578,1.346384
938,564,1.363036
923,585,1.379688
909,576,1.396341
896,567,1.412994
883,558,1.429646
883,558,1.446299
849,571,1.462952
838,566,1.479604
840,564,1.496257
842,565,1.51291
838,570,1.529562
844,576,1.546217
844,584,1.562874
844,580,1.57953
856,592,1.596187
868,605,1.612844
893,634,1.629501
895,641,1.646157
897,639,1.662814
897,636,1.679472
894,635,1.696128
893,638,1.712786
889,636,1.729444
888,635,1.746101
934,675,1.762759
979,792,1.779417
989,830,1.796074
1050,876,1.812732
1045,878,1.82939
976,830,1.846048
976,828,1.862707
975,826,1.879365
974,826,1.896024
973,831,1.912682
976,832,1.92934
967,824,1.945997
950,801,1.96265
946,779,1.979304
947,777,1.995958
946,775,2.012611
951,781,2.029265
952,783,2.045919
948,787,2.062573
955,794,2.079227
954,800,2.095881
955,799,2.112534
949,801,2.129188
948,802,2.145842
908,815,2.162497
911,866,2.17915
832,888,2.195804
833,891,2.212458
839,892,2.229111
841,889,2.245765
837,875,2.26242
837,873,2.279073
840,873,2.295727
836,878,2.312381
836,880,2.329034
836,878,2.345688
837,880,2.362343
839,877,2.378996
839,873,2.39565
835,880,2.412304
837,878,2.42896
844,873,2.445615
842,873,2.462272
838,878,2.478928
838,868,2.495583
840,865,2.512239
846,870,2.528896
848,866,2.545551
852,864,2.562208
848,874,2.578864
845,879,2.595519
848,874,2.612176
819,873,2.628832
779,856,2.645487
601,796,2.662144
584,793,2.678801
582,798,2.695458
588,799,2.712113
587,795,2.72877
584,796,2.745426
582,797,2.762082
583,800,2.778739
592,795,2.795396
593,794,2.812052
593,804,2.828709
590,804,2.845366
588,799,2.862022
591,793,2.878679
596,793,2.895336
594,793,2.911992
592,803,2.928649
588,796,2.945306
577,796,2.961963
577,796,2.97862
578,802,2.995277
577,805,3.011934
572,806,3.028591
573,803,3.045248
580,802,3.061905
579,811,3.078562
576,811,3.095219
582,805,3.111877
582,803,3.128533
577,806,3.145191
582,803,3.161849
588,805,3.178505
586,817,3.195163
584,811,3.21182
584,813,3.228475
583,816,3.245129
580,809,3.261784
605,812,3.278439
860,784,3.295093
1167,733,3.311748
1180,667,3.328403
1304,656,3.345057
1318,651,3.361712
1312,633,3.378367
1310,631,3.395021
1312,635,3.411676
1313,634,3.428331
1446,783,3.444985
1556,684,3.46164
1435,655,3.478295
1318,624,3.49495
1320,627,3.511604
1324,655,3.528259
1582,753,3.544914
1664,622,3.561568
1665,623,3.578223
1587,702,3.594878
1445,549,3.611532
1438,583,3.628187
1455,571,3.644842
1456,548,3.661496
1444,549,3.678151
1444,551,3.694806
1446,541,3.71146
1442,545,3.728115
1433,564,3.74477
1420,592,3.761425
1537,773,3.778079
1645,634,3.794734
1531,598,3.811389
1404,587,3.828043
1417,596,3.844698
1421,572,3.861353
1420,573,3.878007
1414,576,3.894662
1410,582,3.911317
1409,609,3.927971
1509,629,3.944626
1609,650,3.961281
1500,629,3.977935
1392,615,3.99459
1382,618,4.011245
1384,598,4.0279
