x,y,time_seconds
322,206,0.115749
335,206,0.132428
325,216,0.149094
302,241,0.165755
308,352,0.182416
388,422,0.199073
468,493,0.215704
549,563,0.232332
629,634,0.248962
709,704,0.26562
790,775,0.282277
790,775,0.298935
613,272,0.315583
621,271,0.332223
635,228,0.348863
628,226,0.36551
636,182,0.382166
634,165,0.398822
641,143,0.415477
642,137,0.43213
641,122,0.448783
638,120,0.465434
634,116,0.48209
636,120,0.498745
658,133,0.5154
692,140,0.532049
799,127,0.548687
805,137,0.565325
807,134,0.581967
794,132,0.598621
792,143,0.615276
800,144,0.631929
801,151,0.648581
805,153,0.665232
801,134,0.681883
815,127,0.698537
921,126,0.715191
955,126,0.731844
948,123,0.748497
952,119,0.765149
952,129,0.7818
956,132,0.798453
948,128,0.815107
930,130,0.831761
732,144,0.848414
628,144,0.865068
242,221,0.881722
257,231,0.898375
261,228,0.915029
257,226,0.931683
259,218,0.948336
255,217,0.964991
251,224,0.981645
253,221,0.998298
247,214,1.014952
241,221,1.031606
243,226,1.048259
253,222,1.064913
262,231,1.081566
285,225,1.098218
295,206,1.114868
300,205,1.131519
307,210,1.148171
302,214,1.164821
290,208,1.181471
283,208,1.198123
290,207,1.214772
295,208,1.231423
291,209,1.248073
293,208,1.264722
287,212,1.281373
290,206,1.298027
352,190,1.314679
353,196,1.331332
357,201,1.347985
366,203,1.364638
350,200,1.38129
342,190,1.397944
350,189,1.414597
351,195,1.431249
355,192,1.447902
351,190,1.464555
352,190,1.481207
364,194,1.497861
412,199,1.514514
425,193,1.531172
412,187,1.547831
406,194,1.564491
407,186,1.58115
407,178,1.597811
405,187,1.614472
406,189,1.631133
400,190,1.647793
395,188,1.664453
396,182,1.681115
395,187,1.697776
402,208,1.714437
433,208,1.731099
466,188,1.74776
475,182,1.764422
470,185,1.781085
468,196,1.797746
476,187,1.814409
477,186,1.831072
474,198,1.847734
472,194,1.864397
467,193,1.88106
472,195,1.897725
473,187,1.914387
474,182,1.931043
491,191,1.947699
505,193,1.964353
523,189,1.981009
522,184,1.997664
520,182,2.014318
519,183,2.030974
519,184,2.047629
524,185,2.064283
526,185,2.080939
522,190,2.097594
526,191,2.114248
529,189,2.130904
522,190,2.147559
520,193,2.164214
530,200,2.180869
551,194,2.197524
573,183,2.214179
573,188,2.230834
574,198,2.247489
568,200,2.264144
574,199,2.280799
578,204,2.297454
577,210,2.31411
582,209,2.330764
576,211,2.347419
571,208,2.364075
571,207,2.380729
576,203,2.397384
577,206,2.41404
575,213,2.430696
590,213,2.447351
624,209,2.464008
666,201,2.480664
661,205,2.49732
658,223,2.513976
658,227,2.530633
665,217,2.547288
667,213,2.563945
662,220,2.580601
665,220,2.597256
665,217,2.613913
661,213,2.63057
653,215,2.647226
688,215,2.663882
