x,y,time_seconds
912,496,10.875526
940,460,10.89218
937,456,10.908835
934,454,10.92549
938,456,10.942143999999999
911,492,10.958798999999999
913,493,10.975454
915,495,10.992108000000002
912,493,11.008763000000002
940,457,11.025418000000002
938,458,11.042072000000001
935,455,11.058728000000002
937,456,11.075382999999999
913,492,11.092037000000001
911,491,11.108692000000001
909,490,11.125347000000001
908,491,11.142002999999999
934,454,11.158657000000002
935,454,11.175312000000002
934,456,11.191967000000002
941,451,11.208621
938,450,11.225276000000001
937,453,11.241931000000001
940,453,11.258585
941,447,11.27524
920,487,11.291895
920,494,11.308549
914,497,11.325204
911,493,11.341859
910,491,11.358513000000002
908,493,11.375168000000002
936,455,11.391824
938,449,11.408479
914,489,11.425132999999999
909,490,11.441787999999999
908,491,11.458442999999999
861,469,11.475097000000002
786,413,11.491752000000002
728,346,11.508408
723,327,11.525062000000002
724,323,11.541717000000002
726,317,11.558372000000002
728,315,11.575026000000001
725,315,11.591681000000001
723,313,11.608336000000001
723,312,11.62499
724,312,11.641645
721,305,11.6583
720,303,11.674955
718,305,11.691609
719,304,11.708264
722,303,11.724920000000001
719,301,11.741574
721,303,11.758229
721,304,11.774884
713,302,11.791538
715,299,11.808193
719,302,11.824848
699,302,11.841502000000002
704,262,11.858157000000002
706,261,11.874812000000002
687,301,11.891466000000001
694,304,11.908121999999999
715,268,11.924776999999999
712,262,11.941431999999999
715,263,11.958086000000002
710,265,11.974741000000002
688,304,11.991396000000002
693,306,12.00805
717,269,12.024705
707,269,12.041360000000001
685,308,12.058015000000001
689,307,12.074670000000001
713,270,12.091325000000001
705,267,12.107979
707,268,12.124634
712,271,12.141289
712,269,12.157943
704,268,12.174598
706,269,12.191253
750,268,12.207908
755,303,12.224563
770,302,12.241218
765,303,12.257873
766,306,12.274526999999999
769,304,12.291182
771,302,12.307837
765,304,12.324491000000002
765,302,12.341146000000002
770,302,12.357801000000002
768,302,12.374455000000001
767,303,12.391110999999999
765,303,12.407765999999999
763,299,12.424420000000001
765,299,12.441075000000001
766,297,12.457730000000002
765,296,12.474385000000002
767,302,12.491039
772,304,12.507694
771,302,12.524350000000002
766,303,12.541004000000001
763,306,12.557659000000001
765,307,12.574314000000001
789,307,12.590968
823,304,12.607623
828,302,12.624278
826,304,12.640932
826,307,12.657587
828,305,12.674242
823,304,12.690896000000002
825,305,12.707550999999999
829,308,12.724207
828,309,12.740862
827,307,12.757515999999999
826,308,12.774170999999999
831,308,12.790826
830,309,12.807480000000002
829,307,12.824135000000002
833,305,12.840791
834,310,12.857445000000002
833,310,12.874100000000002
834,311,12.890754999999999
834,313,12.907409000000001
828,311,12.924064000000001
825,310,12.940719000000001
828,310,12.957373
829,310,12.974028
827,306,12.990683
827,304,13.007338
828,309,13.023992
815,308,13.040648000000001
808,305,13.057303000000001
812,304,13.073957
809,300,13.090612
808,300,13.107267
812,301,13.123921
810,307,13.140576
810,323,13.157232
809,314,13.173886
806,313,13.190541
807,315,13.207196
807,315,13.223849999999999
761,315,13.240504999999999
709,295,13.257159999999999
691,300,13.273814999999999
698,325,13.290469000000002
706,321,13.307124000000002
702,324,13.323779000000002
698,323,13.340433
707,322,13.357089000000002
705,320,13.373744000000002
702,316,13.390398000000001
704,317,13.407053000000001
698,310,13.423708000000001
699,309,13.440362
700,304,13.457017
701,306,13.473672
708,316,13.490326
707,317,13.506981
704,318,13.523637
711,316,13.540292
721,290,13.556946
769,286,13.573601
779,312,13.590256
780,312,13.60691
771,287,13.623565
772,288,13.64022
778,312,13.656874000000002
778,312,13.67353
773,289,13.690185
771,291,13.706838999999999
778,311,13.723493999999999
778,310,13.740148999999999
772,309,13.756803000000001
774,309,13.773458000000002
777,311,13.790113000000002
776,312,13.806768000000002
769,317,13.823422
769,319,13.840078000000002
788,317,13.856733000000002
851,321,13.873387000000001
893,315,13.890042000000001
898,313,13.906697000000001
896,308,13.923351
896,307,13.940006
896,311,13.956661
890,310,13.973315
887,311,13.989971
893,313,14.006626
895,310,14.02328
893,309,14.039935
897,306,14.05659
898,308,14.073245
894,308,14.089898999999999
894,311,14.106554
895,320,14.12321
897,321,14.139864
895,325,14.156519
931,323,14.173174
972,317,14.189828000000002
983,315,14.206482999999999
987,311,14.223137999999999
987,314,14.239792000000001
987,310,14.256447000000001
986,310,14.273102000000002
984,317,14.289756
987,317,14.306412000000002
988,316,14.323067000000002
986,317,14.339722000000002
985,319,14.356376000000001
985,320,14.373031000000001
988,317,14.389686000000001
989,317,14.40634
1006,319,14.422996000000001
992,371,14.439651000000001
985,374,14.456305
987,374,14.47296
990,371,14.489615
990,372,14.506269
984,383,14.522924
985,382,14.539579
989,371,14.556232999999999
992,373,14.572887999999999
993,372,14.589542999999999
991,372,14.606198
986,373,14.622853
983,373,14.639508
990,373,14.656163
993,374,14.672817000000002
992,378,14.689472000000002
1014,331,14.706127000000002
1003,326,14.722781999999999
1006,327,14.739436999999999
1005,326,14.756091999999999
1007,326,14.772746000000001
1011,332,14.789401000000002
976,381,14.806056000000002
975,386,14.82271
1012,336,14.839365
1013,327,14.856020000000001
977,367,14.872675000000001
979,380,14.889329
998,380,14.905984
1052,381,14.922639
1053,379,14.939294
1039,374,14.955949
1040,377,14.972604
1044,384,14.989258
1043,383,15.005913
1043,369,15.022568
1043,372,15.039221999999999
1045,371,15.055876999999999
1043,368,15.072531999999999
1056,376,15.089186000000002
1057,378,15.105841000000002
1054,375,15.122496000000002
1054,374,15.139151000000002
1051,374,15.155805
1049,375,15.172460000000001
1046,368,15.189115000000001
1047,369,15.205769
1054,376,15.222424
1053,375,15.239079
1053,372,15.255734
1053,371,15.272389
1053,376,15.289044
1051,377,15.305698
1045,375,15.322353
1047,375,15.339008
1088,367,15.355661999999999
1099,368,15.372316999999999
1094,372,15.388971999999999
1095,373,15.405626999999999
1092,377,15.422281000000002
1091,377,15.438936000000002
1093,370,15.455591000000002
1096,368,15.472245000000001
1089,367,15.488900000000001
1086,368,15.505555000000001
1094,372,15.522209
1097,371,15.538864
1103,378,15.555519
1079,380,15.572174
922,372,15.588829
731,330,15.605484
714,345,15.622138
718,345,15.638793
724,342,15.655448
728,339,15.672103
728,335,15.688756999999999
725,335,15.705411999999999
720,340,15.722067
724,338,15.738721000000002
725,333,15.755376000000002
723,334,15.772031000000002
728,334,15.788685000000001
728,335,15.805340000000001
724,326,15.821995000000001
725,326,15.838649
726,329,15.855304
726,329,15.871959
726,326,15.888614
724,325,15.905269
725,327,15.921924
726,327,15.938579
725,324,15.955233
725,323,15.971888
722,329,15.988543
722,331,16.005197
721,329,16.021852
718,329,16.038507
718,328,16.055161000000002
718,324,16.071816000000002
718,323,16.088471000000002
716,322,16.105125
716,317,16.12178
724,310,16.138435
728,309,16.155089
728,311,16.171744
727,309,16.188399
723,310,16.205055
720,308,16.221709
718,308,16.238364
720,307,16.255019
717,305,16.271673
717,308,16.288328
718,308,16.304983
720,306,16.321637
724,304,16.338292
720,304,16.354947
718,305,16.371601000000002
714,310,16.388256000000002
715,311,16.404911000000002
717,305,16.421565
713,305,16.43822
716,305,16.454875
722,304,16.47153
723,304,16.488184
723,303,16.504839
722,305,16.521495
721,307,16.538149
719,307,16.554804
716,306,16.571459
715,303,16.588113
753,322,16.604768
810,353,16.621423
948,460,16.638077
946,465,16.654732
937,469,16.671387
931,491,16.688041000000002
927,493,16.704696000000002
930,469,16.721351000000002
928,470,16.738006000000002
931,496,16.75466
933,495,16.771315
935,472,16.78797
936,471,16.804624
935,495,16.821279
933,495,16.837935
931,495,16.854589
931,485,16.871244
932,467,16.887899
930,460,16.904553
934,456,16.921208
934,455,16.937863
937,457,16.954517
939,459,16.971172
934,453,16.987827
936,454,17.004482
941,453,17.021136000000002
944,453,17.037791000000002
943,453,17.054446
940,450,17.0711
945,450,17.087755
944,452,17.10441
945,448,17.121064
947,448,17.137719
946,451,17.154375
945,451,17.171029
940,445,17.187684
943,445,17.204339
940,443,17.220993
942,441,17.237648
937,443,17.254303
934,425,17.270958
943,401,17.287612
942,394,17.304267
946,402,17.320922
948,404,17.337576000000002
944,399,17.354231
945,399,17.370886
943,400,17.38754
942,403,17.404195
941,405,17.42085
941,406,17.437504
942,405,17.454159
941,403,17.470815
939,405,17.487469
934,408,17.504124
941,418,17.520779
960,567,17.537434
950,605,17.554088
945,607,17.570743
944,609,17.587398
944,608,17.604052
943,607,17.620707
942,607,17.637362
945,584,17.654016000000002
947,586,17.670671
941,610,17.687326
937,605,17.70398
937,604,17.720635
941,605,17.73729
941,601,17.753944
943,604,17.7706
943,605,17.787255000000002
945,606,17.803910000000002
944,608,17.820564
945,611,17.837219
950,615,17.853874
945,612,17.870528
945,611,17.887183
952,613,17.903838
951,612,17.920492
950,611,17.937147
948,612,17.953802
947,612,17.970456
950,614,17.987111
952,613,18.003766
956,612,18.02042
960,611,18.037075
957,609,18.05373
919,625,18.070385
867,637,18.087040000000002
755,735,18.103695000000002
754,754,18.120350000000002
752,756,18.137003999999997
758,752,18.153658999999998
761,753,18.170313999999998
758,758,18.186968
760,753,18.203623
762,756,18.220278
762,755,18.236932000000003
766,723,18.253587000000003
760,725,18.270242000000003
760,753,18.286896
787,738,18.303551
806,697,18.320206
816,691,18.336861
820,719,18.353515
820,720,18.37017
818,716,18.386825
822,718,18.403480000000002
820,713,18.420135000000002
816,712,18.436790000000002
819,712,18.453443999999998
814,713,18.470098999999998
817,716,18.486753999999998
816,716,18.503408
808,708,18.520063
807,703,18.536718
826,684,18.553372000000003
949,720,18.570027000000003
1000,744,18.586682000000003
1003,746,18.603337000000003
994,744,18.619991
993,741,18.636646
999,736,18.653301
1000,739,18.669955
996,729,18.68661
995,726,18.703265000000002
993,724,18.719920000000002
1016,689,18.736575000000002
998,700,18.753230000000002
995,702,18.769883999999998
997,701,18.786538999999998
990,699,18.803193999999998
986,695,18.819848
992,694,18.836503
994,692,18.853158
991,694,18.869813
986,694,18.886467000000003
987,697,18.903122000000003
993,698,18.919777000000003
952,698,18.936431
895,689,18.953086
763,695,18.969741
753,707,18.986395
753,703,19.00305
764,700,19.019705000000002
764,701,19.036360000000002
761,698,19.053015000000002
761,697,19.069670000000002
763,701,19.086323999999998
764,700,19.102978999999998
763,698,19.119633999999998
765,695,19.136288999999998
760,699,19.152943
758,701,19.169598
767,700,19.186253
763,703,19.202907000000003
759,705,19.219562000000003
767,703,19.236217000000003
768,702,19.252871
767,702,19.269526
765,705,19.286181
762,706,19.302835
773,703,19.319490000000002
790,699,19.336145000000002
795,704,19.352800000000002
793,707,19.369455000000002
793,701,19.386110000000002
791,701,19.402765000000002
795,704,19.419418999999998
798,705,19.436073999999998
794,702,19.452728999999998
792,702,19.469383
791,703,19.486038
787,702,19.502693
797,698,19.519347000000003
800,699,19.536002000000003
792,706,19.552657000000004
797,705,19.569311
796,707,19.585966
790,706,19.602621
792,702,19.619275000000002
790,704,19.635930000000002
791,702,19.652585000000002
801,702,19.669241
808,704,19.685895000000002
807,702,19.702550000000002
808,703,19.719205000000002
810,700,19.735858999999998
809,707,19.752513999999998
808,707,19.769168999999998
800,708,19.785823
801,708,19.802478
808,716,19.819133
806,713,19.835787000000003
807,706,19.852442000000003
807,708,19.869097000000004
803,710,19.885751
806,710,19.902406
805,703,19.919061
807,703,19.935716
807,703,19.952370000000002
778,698,19.969025000000002
761,706,19.985681
761,714,20.002335000000002
761,719,20.018990000000002
762,724,20.035645000000002
760,699,20.052298999999998
761,698,20.068955000000003
762,710,20.085610000000003
762,711,20.102263999999998
768,724,20.118918999999998
768,725,20.135574
771,723,20.152228
771,721,20.168883
769,724,20.185538
769,724,20.202193
769,720,20.218847000000004
768,718,20.235502000000004
765,709,20.252156999999997
766,710,20.268811
784,720,20.285466999999997
812,718,20.302121999999997
821,716,20.318776999999997
821,717,20.335431999999997
821,713,20.352086999999997
817,717,20.368741
808,699,20.385396
810,691,20.402051
815,718,20.418705000000003
815,720,20.435360000000003
810,712,20.452015000000003
810,713,20.468670000000003
810,705,20.485324
809,703,20.501979
812,719,20.518634
813,722,20.535289
810,724,20.551944
811,724,20.568599
815,721,20.585253
810,721,20.601908
805,715,20.618564
812,714,20.635218000000002
815,717,20.651873000000002
809,718,20.668528000000002
827,696,20.685181999999998
968,687,20.701836999999998
973,716,20.718491999999998
965,713,20.735146999999998
964,712,20.751801
966,712,20.768456999999998
970,711,20.785111999999998
970,715,20.801766
965,712,20.818421
969,709,20.835076
973,710,20.851730000000003
971,710,20.868385000000004
970,709,20.885040000000004
969,711,20.901694
970,711,20.918349
968,711,20.935005000000004
974,710,20.951659
952,747,20.968314
979,753,20.984969
978,752,21.001624999999997
972,754,21.018279
976,756,21.034934
978,758,21.051589
1015,718,21.068243000000002
1017,716,21.084898000000003
983,756,21.101553000000003
978,752,21.118206999999998
976,752,21.134862
1013,760,21.151517
1044,763,21.168171
1082,755,21.184827
1081,755,21.201482
1084,741,21.218136
1083,739,21.234791
1087,760,21.251447
1090,767,21.268102
1078,769,21.284756
1074,763,21.301411
1083,759,21.318066
1083,761,21.334719999999997
1086,760,21.351374999999997
1084,761,21.368029999999997
1075,774,21.384684
1044,669,21.401339
947,569,21.417994
749,365,21.434648000000003
750,341,21.451304
752,333,21.467959
752,346,21.484613000000003
755,344,21.501268000000003
760,339,21.517923000000003
758,338,21.534578000000003
759,343,21.551232
762,342,21.567888000000004
758,334,21.584543000000004
755,332,21.601197
754,334,21.617852
757,335,21.634507
750,331,21.651161000000002
751,330,21.667816000000002
752,328,21.684471000000002
738,324,21.701124999999998
733,328,21.717781000000002
737,331,21.734436000000002
734,326,21.751089999999998
729,322,21.767744999999998
730,327,21.784399999999998
730,328,21.801054999999998
729,323,21.817709
733,322,21.834364
733,318,21.851019
728,315,21.867674
727,315,21.884329
765,314,21.900984
807,310,21.917638000000004
825,304,21.934293000000004
825,301,21.950949
825,301,21.967602999999997
826,304,21.984257999999997
821,303,22.000912999999997
814,301,22.017567
819,300,22.034222
817,300,22.050877
816,300,22.067532
820,304,22.084187
818,307,22.100842
816,306,22.117497
817,303,22.134151000000003
815,302,22.150806000000003
811,303,22.167461000000003
806,301,22.184115
807,301,22.200771000000003
817,300,22.217426000000003
817,302,22.23408
818,300,22.250735
813,298,22.26739
798,306,22.284044
787,305,22.300699
785,302,22.317355
784,303,22.33401
785,301,22.350664000000002
786,301,22.367319000000002
790,300,22.383974000000002
792,303,22.400627999999998
788,306,22.417282999999998
788,305,22.433937999999998
786,306,22.450592
802,307,22.467247
834,297,22.483902
920,296,22.500557
916,307,22.517212
917,308,22.533867
921,306,22.550522
921,310,22.567177
924,317,22.583832
923,319,22.600487
924,326,22.617141000000004
920,324,22.633796000000004
920,314,22.650451000000004
919,315,22.667105
917,315,22.68376
918,319,22.700415
921,321,22.717069000000002
921,320,22.733724000000002
926,326,22.75038
928,329,22.767034000000002
926,328,22.783689000000003
921,325,22.800344000000003
943,327,22.816997999999998
954,375,22.833654000000003
982,372,22.850309000000003
981,373,22.866964000000003
978,373,22.883618
978,371,22.900273
982,377,22.916928
1016,336,22.933582
1012,332,22.950237
980,373,22.966892
979,366,22.983545999999997
980,366,23.000202
986,366,23.016857
1019,325,23.033510999999997
1020,330,23.050165999999997
987,370,23.066820999999997
981,365,23.083475999999997
1018,323,23.100130999999998
1017,332,23.116785999999998
979,377,23.133440999999998
983,370,23.150095
1016,328,23.16675
1016,327,23.183405
1015,330,23.200059000000003
1001,339,23.216715
852,506,23.23337
810,574,23.250024000000003
741,731,23.266679000000003
736,749,23.283334000000004
733,744,23.299989000000004
734,741,23.316644000000004
735,743,23.333299000000004
736,748,23.349953
738,751,23.366608
742,754,23.383263
742,749,23.399918
739,749,23.416572000000002
738,749,23.433227000000002
741,749,23.449882000000002
741,753,23.466537000000002
740,741,23.483192000000003
741,742,23.499847000000003
736,755,23.516500999999998
737,755,23.533157000000003
743,753,23.549812000000003
743,751,23.566466
742,760,23.583121
743,762,23.599776
747,749,23.61643
745,748,23.633085
744,748,23.64974
745,742,23.666395
736,742,23.683048999999997
717,750,23.699703999999997
708,730,23.716358999999997
720,735,23.733013999999997
720,731,23.749668999999997
714,731,23.766323999999997
718,758,23.782978
717,754,23.799633999999998
715,750,23.816288999999998
715,750,23.832943
716,746,23.849598
717,747,23.866253
718,752,23.882907000000003
718,752,23.899562000000003
716,727,23.916217000000003
714,731,23.932872000000003
719,752,23.949527000000003
720,750,23.966182000000003
724,756,23.982837000000004
726,755,23.999491
724,731,24.016146
727,732,24.032801
727,754,24.049455000000002
715,759,24.066111
701,746,24.082766
704,754,24.099420000000002
711,771,24.116075000000002
710,770,24.132730000000002
707,777,24.149383999999998
707,776,24.166040000000002
705,777,24.182695000000002
702,782,24.199350000000003
703,784,24.216003999999998
704,783,24.232658999999998
705,777,24.249314
707,776,24.265968
707,779,24.282623
703,780,24.299278
704,778,24.315933
706,778,24.332588
700,778,24.349243
702,778,24.365897000000004
703,779,24.382551999999997
701,779,24.399208
699,781,24.415861999999997
701,778,24.432516999999997
706,782,24.449171999999997
735,751,24.465826999999997
784,672,24.482481
925,462,24.499136
926,455,24.515791
921,457,24.532445000000003
923,456,24.549100000000003
927,460,24.565755000000003
924,457,24.582410000000003
922,458,24.599065000000003
926,457,24.615721
923,453,24.632375000000003
920,457,24.649030000000003
920,458,24.665685000000003
928,459,24.682339
929,460,24.698994
921,458,24.715649
916,456,24.732304
919,457,24.748958000000002
923,457,24.765613000000002
920,454,24.782268000000002
918,454,24.798921999999997
955,436,24.815578000000002
982,444,24.832233000000002
1029,383,24.848888000000002
1032,373,24.865543000000002
1032,366,24.882198000000002
1032,365,24.898851999999998
1033,368,24.915506999999998
1033,370,24.932161999999998
1028,367,24.948816
1029,367,24.965471
1027,371,24.982126
1027,370,24.998781
1028,371,25.015435000000004
1026,371,25.032090000000004
1027,366,25.048745000000004
1030,367,25.065399
1027,361,25.082054
1023,359,25.098709999999997
1014,357,25.115364
981,316,25.132019
878,320,25.148674
715,337,25.165328000000002
713,343,25.181983000000002
713,339,25.198638000000003
718,346,25.215291999999998
714,343,25.231946999999998
713,333,25.248601999999998
718,334,25.265257
716,331,25.281911
715,331,25.298566
711,337,25.315221
710,336,25.331875000000004
715,335,25.348530000000004
718,337,25.365186
718,336,25.381840000000004
712,336,25.398494999999997
733,298,25.415149999999997
738,299,25.431804
715,337,25.448459
717,336,25.465114
720,336,25.481768000000002
723,336,25.498423000000003
758,323,25.515078000000003
965,347,25.531733000000003
1093,353,25.548386999999998
1116,350,25.565042
1116,345,25.581697
1112,345,25.598351
1107,350,25.615006
1109,351,25.631662
1106,353,25.648316
1107,354,25.664971
1107,360,25.681626
1105,361,25.698279999999997
1103,354,25.714934999999997
1103,354,25.731589999999997
1101,371,25.748244
1101,371,25.764899
1025,412,25.781554
