time_seconds,current_time,x,y
0.582033,2024-05-27T21:24:06.882Z,976,632
0.598688,2024-05-27T21:24:06.882Z,924,683
0.615342,2024-05-27T21:24:06.882Z,934,671
0.631995,2024-05-27T21:24:06.882Z,992,612
0.648648,2024-05-27T21:24:06.882Z,923,603
0.665301,2024-05-27T21:24:06.882Z,870,631
0.681954,2024-05-27T21:24:06.882Z,827,589
0.698608,2024-05-27T21:24:06.882Z,846,528
0.715262,2024-05-27T21:24:06.882Z,838,508
0.731915,2024-05-27T21:24:06.882Z,814,539
0.748569,2024-05-27T21:24:06.882Z,808,545
0.765228,2024-05-27T21:24:06.882Z,818,573
0.781885,2024-05-27T21:24:06.882Z,817,578
0.798543,2024-05-27T21:24:06.882Z,818,582
0.815197,2024-05-27T21:24:06.882Z,824,582
0.83185,2024-05-27T21:24:06.882Z,822,578
0.848505,2024-05-27T21:24:06.882Z,825,580
0.865159,2024-05-27T21:24:06.882Z,826,582
0.881814,2024-05-27T21:24:06.882Z,822,585
0.898468,2024-05-27T21:24:06.882Z,824,593
0.915124,2024-05-27T21:24:06.882Z,826,586
0.931779,2024-05-27T21:24:06.882Z,820,551
0.948432,2024-05-27T21:24:06.882Z,821,562
0.965088,2024-05-27T21:24:06.882Z,821,566
0.981742,2024-05-27T21:24:06.882Z,841,580
0.998396,2024-05-27T21:24:06.882Z,858,592
1.01505,2024-05-27T21:24:07.882Z,932,628
1.031704,2024-05-27T21:24:07.882Z,928,654
1.048358,2024-05-27T21:24:07.882Z,922,657
1.065012,2024-05-27T21:24:07.882Z,923,660
1.081666,2024-05-27T21:24:07.882Z,927,657
1.09832,2024-05-27T21:24:07.882Z,922,655
1.114974,2024-05-27T21:24:07.882Z,920,662
1.131629,2024-05-27T21:24:07.882Z,925,658
1.148283,2024-05-27T21:24:07.882Z,924,659
1.164937,2024-05-27T21:24:07.882Z,929,641
1.181591,2024-05-27T21:24:07.882Z,929,638
1.198246,2024-05-27T21:24:07.882Z,924,667
1.214899,2024-05-27T21:24:07.882Z,926,670
1.231554,2024-05-27T21:24:07.882Z,926,660
1.248208,2024-05-27T21:24:07.882Z,925,657
1.264862,2024-05-27T21:24:07.882Z,954,633
1.281517,2024-05-27T21:24:07.882Z,954,638
1.298172,2024-05-27T21:24:07.882Z,922,660
1.314825,2024-05-27T21:24:07.882Z,933,657
1.33148,2024-05-27T21:24:07.882Z,935,658
1.348134,2024-05-27T21:24:07.882Z,930,654
1.364788,2024-05-27T21:24:07.882Z,935,659
1.381442,2024-05-27T21:24:07.882Z,942,664
1.398097,2024-05-27T21:24:07.882Z,944,641
1.414752,2024-05-27T21:24:07.882Z,932,645
1.431405,2024-05-27T21:24:07.882Z,932,662
1.44806,2024-05-27T21:24:07.882Z,929,685
1.464714,2024-05-27T21:24:07.882Z,929,673
1.481368,2024-05-27T21:24:07.882Z,929,656
1.498022,2024-05-27T21:24:07.882Z,957,609
1.514677,2024-05-27T21:24:07.882Z,955,603
1.53133,2024-05-27T21:24:07.882Z,921,652
1.547985,2024-05-27T21:24:07.882Z,920,644
1.56464,2024-05-27T21:24:07.882Z,953,588
1.581294,2024-05-27T21:24:07.882Z,940,619
1.597949,2024-05-27T21:24:07.882Z,928,650
1.614603,2024-05-27T21:24:07.882Z,916,681
1.631257,2024-05-27T21:24:07.882Z,904,712
1.647912,2024-05-27T21:24:07.882Z,892,743
1.664567,2024-05-27T21:24:07.882Z,880,774
1.681221,2024-05-27T21:24:07.882Z,868,805
1.697875,2024-05-27T21:24:07.882Z,868,805
1.714531,2024-05-27T21:24:07.882Z,950,699
1.731185,2024-05-27T21:24:07.882Z,950,699
1.747839,2024-05-27T21:24:07.882Z,944,711
1.764493,2024-05-27T21:24:07.882Z,914,724
1.781149,2024-05-27T21:24:07.882Z,914,672
1.797803,2024-05-27T21:24:07.882Z,916,671
1.814457,2024-05-27T21:24:07.882Z,914,626
1.831112,2024-05-27T21:24:07.882Z,944,593
1.847766,2024-05-27T21:24:07.882Z,942,571
1.864421,2024-05-27T21:24:07.882Z,942,571
1.881076,2024-05-27T21:24:07.882Z,948,568
